FIPS	State	County	Variable	median_household_income
1001	Alabama	Autauga	median_household_income	48863
1003	Alabama	Baldwin	median_household_income	50144
1005	Alabama	Barbour	median_household_income	30117
1007	Alabama	Bibb	median_household_income	37347
1009	Alabama	Blount	median_household_income	41940
1011	Alabama	Bullock	median_household_income	26038
1013	Alabama	Butler	median_household_income	30489
1015	Alabama	Calhoun	median_household_income	39060
1017	Alabama	Chambers	median_household_income	33500
1019	Alabama	Cherokee	median_household_income	34738
1021	Alabama	Chilton	median_household_income	38833
1023	Alabama	Choctaw	median_household_income	32940
1025	Alabama	Clarke	median_household_income	32642
1027	Alabama	Clay	median_household_income	32454
1029	Alabama	Cleburne	median_household_income	39153
1031	Alabama	Coffee	median_household_income	42173
1033	Alabama	Colbert	median_household_income	37269
1035	Alabama	Conecuh	median_household_income	26914
1037	Alabama	Coosa	median_household_income	34391
1039	Alabama	Covington	median_household_income	32138
1041	Alabama	Crenshaw	median_household_income	34534
1043	Alabama	Cullman	median_household_income	39395
1045	Alabama	Dale	median_household_income	41568
1047	Alabama	Dallas	median_household_income	25859
1049	Alabama	DeKalb	median_household_income	35487
1051	Alabama	Elmore	median_household_income	54866
1053	Alabama	Escambia	median_household_income	32838
1055	Alabama	Etowah	median_household_income	34927
1057	Alabama	Fayette	median_household_income	32648
1059	Alabama	Franklin	median_household_income	33705
1061	Alabama	Geneva	median_household_income	33835
1063	Alabama	Greene	median_household_income	24738
1065	Alabama	Hale	median_household_income	31044
1067	Alabama	Henry	median_household_income	39788
1069	Alabama	Houston	median_household_income	40428
1071	Alabama	Jackson	median_household_income	36746
1073	Alabama	Jefferson	median_household_income	42053
1075	Alabama	Lamar	median_household_income	34731
1077	Alabama	Lauderdale	median_household_income	40195
1079	Alabama	Lawrence	median_household_income	38132
1081	Alabama	Lee	median_household_income	42539
1083	Alabama	Limestone	median_household_income	46760
1085	Alabama	Lowndes	median_household_income	28043
1087	Alabama	Macon	median_household_income	27591
1089	Alabama	Madison	median_household_income	55298
1091	Alabama	Marengo	median_household_income	31995
1093	Alabama	Marion	median_household_income	30926
1095	Alabama	Marshall	median_household_income	38876
1097	Alabama	Mobile	median_household_income	41867
1099	Alabama	Monroe	median_household_income	31072
1101	Alabama	Montgomery	median_household_income	42962
1103	Alabama	Morgan	median_household_income	43615
1105	Alabama	Perry	median_household_income	22175
1107	Alabama	Pickens	median_household_income	31079
1109	Alabama	Pike	median_household_income	32345
1111	Alabama	Randolph	median_household_income	34517
1113	Alabama	Russell	median_household_income	32632
1115	Alabama	St. Clair	median_household_income	48040
