FIPS	State	County	Variable	ypll_rate
1001	Alabama	Autauga	ypll_rate	8376
1003	Alabama	Baldwin	ypll_rate	7770
1005	Alabama	Barbour	ypll_rate	9458
1007	Alabama	Bibb	ypll_rate	11544
1009	Alabama	Blount	ypll_rate	8506
1011	Alabama	Bullock	ypll_rate	9884
1013	Alabama	Butler	ypll_rate	11006
1015	Alabama	Calhoun	ypll_rate	11097
1017	Alabama	Chambers	ypll_rate	10368
1019	Alabama	Cherokee	ypll_rate	9409
1021	Alabama	Chilton	ypll_rate	10330
1023	Alabama	Choctaw	ypll_rate	11985
1025	Alabama	Clarke	ypll_rate	9309
1027	Alabama	Clay	ypll_rate	9915
1029	Alabama	Cleburne	ypll_rate	10738
1031	Alabama	Coffee	ypll_rate	8403
1033	Alabama	Colbert	ypll_rate	10591
1035	Alabama	Conecuh	ypll_rate	12942
1037	Alabama	Coosa	ypll_rate	11435
1039	Alabama	Covington	ypll_rate	9830
1041	Alabama	Crenshaw	ypll_rate	9645
1043	Alabama	Cullman	ypll_rate	9060
1045	Alabama	Dale	ypll_rate	8912
1047	Alabama	Dallas	ypll_rate	12899
1049	Alabama	DeKalb	ypll_rate	9153
1051	Alabama	Elmore	ypll_rate	8604
1053	Alabama	Escambia	ypll_rate	10538
1055	Alabama	Etowah	ypll_rate	11524
1057	Alabama	Fayette	ypll_rate	11965
1059	Alabama	Franklin	ypll_rate	10556
1061	Alabama	Geneva	ypll_rate	9114
1063	Alabama	Greene	ypll_rate	10935
1065	Alabama	Hale	ypll_rate	13943
1067	Alabama	Henry	ypll_rate	9577
1069	Alabama	Houston	ypll_rate	8370
1071	Alabama	Jackson	ypll_rate	11018
1073	Alabama	Jefferson	ypll_rate	10485
1075	Alabama	Lamar	ypll_rate	10051
1077	Alabama	Lauderdale	ypll_rate	8601
1079	Alabama	Lawrence	ypll_rate	10855
1081	Alabama	Lee	ypll_rate	7014
1083	Alabama	Limestone	ypll_rate	7448
1085	Alabama	Lowndes	ypll_rate	15671
1087	Alabama	Macon	ypll_rate	13906
1089	Alabama	Madison	ypll_rate	7760
1091	Alabama	Marengo	ypll_rate	9873
1093	Alabama	Marion	ypll_rate	10664
1095	Alabama	Marshall	ypll_rate	10232
1097	Alabama	Mobile	ypll_rate	10188
1099	Alabama	Monroe	ypll_rate	10722
1101	Alabama	Montgomery	ypll_rate	9321
1103	Alabama	Morgan	ypll_rate	8920
1105	Alabama	Perry	ypll_rate	13473
1107	Alabama	Pickens	ypll_rate	11568
1109	Alabama	Pike	ypll_rate	10834
1111	Alabama	Randolph	ypll_rate	11073
1113	Alabama	Russell	ypll_rate	12305
1115	Alabama	St. Clair	ypll_rate	9241
1117	Alabama	Shelby	ypll_rate	6212
1119	Alabama	Sumter	ypll_rate	10937
1121	Alabama	Talladega	ypll_rate	11323
1123	Alabama	Tallapoosa	ypll_rate	9864
1125	Alabama	Tuscaloosa	ypll_rate	9446
1127	Alabama	Walker	ypll_rate	14300
1129	Alabama	Washington	ypll_rate	11045
1131	Alabama	Wilcox	ypll_rate	12975
1133	Alabama	Winston	ypll_rate	12621
2013	Alaska	Aleutians East	ypll_rate	
2016	Alaska	Aleutians West	ypll_rate	
2020	Alaska	Anchorage	ypll_rate	6827
2050	Alaska	Bethel	ypll_rate	13345
2060	Alaska	Bristol Bay	ypll_rate	
2068	Alaska	Denali	ypll_rate	
2070	Alaska	Dillingham	ypll_rate	9699
2090	Alaska	Fairbanks North Star	ypll_rate	5740
2100	Alaska	Haines	ypll_rate	
2110	Alaska	Juneau	ypll_rate	5867
2122	Alaska	Kenai Peninsula	ypll_rate	8656
2130	Alaska	Ketchikan Gateway	ypll_rate	8422
2150	Alaska	Kodiak Island	ypll_rate	6891
2164	Alaska	Lake and Peninsula	ypll_rate	
2170	Alaska	Matanuska-Susitna	ypll_rate	6519
2180	Alaska	Nome	ypll_rate	17794
2185	Alaska	North Slope	ypll_rate	10564
2188	Alaska	Northwest Arctic	ypll_rate	13604
2201	Alaska	Prince of Wales-Outer Ketchikan	ypll_rate	8689
2220	Alaska	Sitka	ypll_rate	7377
2232	Alaska	Skagway-Hoonah-Angoon	ypll_rate	10398
2240	Alaska	Southeast Fairbanks	ypll_rate	5734
2261	Alaska	Valdez-Cordova	ypll_rate	7734
2270	Alaska	Wade Hampton	ypll_rate	18391
2280	Alaska	Wrangell-Petersburg	ypll_rate	9208
2282	Alaska	Yakutat	ypll_rate	
2290	Alaska	Yukon-Koyukuk	ypll_rate	16527
4001	Arizona	Apache	ypll_rate	14039
4003	Arizona	Cochise	ypll_rate	7828
4005	Arizona	Coconino	ypll_rate	7342
4007	Arizona	Gila	ypll_rate	10843
4009	Arizona	Graham	ypll_rate	8077
4011	Arizona	Greenlee	ypll_rate	6685
4012	Arizona	La Paz	ypll_rate	12621
4013	Arizona	Maricopa	ypll_rate	6247
4015	Arizona	Mohave	ypll_rate	9828
4017	Arizona	Navajo	ypll_rate	11848
4019	Arizona	Pima	ypll_rate	7390
4021	Arizona	Pinal	ypll_rate	6588
4023	Arizona	Santa Cruz	ypll_rate	5135
4025	Arizona	Yavapai	ypll_rate	7372
4027	Arizona	Yuma	ypll_rate	5843
5001	Arkansas	Arkansas	ypll_rate	11046
5003	Arkansas	Ashley	ypll_rate	10381
5005	Arkansas	Baxter	ypll_rate	9680
5007	Arkansas	Benton	ypll_rate	6504
5009	Arkansas	Boone	ypll_rate	8359
5011	Arkansas	Bradley	ypll_rate	9604
5013	Arkansas	Calhoun	ypll_rate	9615
5015	Arkansas	Carroll	ypll_rate	9288
5017	Arkansas	Chicot	ypll_rate	11700
5019	Arkansas	Clark	ypll_rate	8242
5021	Arkansas	Clay	ypll_rate	8680
5023	Arkansas	Cleburne	ypll_rate	9823
5025	Arkansas	Cleveland	ypll_rate	7916
5027	Arkansas	Columbia	ypll_rate	10652
5029	Arkansas	Conway	ypll_rate	11272
5031	Arkansas	Craighead	ypll_rate	8849
5033	Arkansas	Crawford	ypll_rate	9795
5035	Arkansas	Crittenden	ypll_rate	13082
5037	Arkansas	Cross	ypll_rate	10713
5039	Arkansas	Dallas	ypll_rate	10974
5041	Arkansas	Desha	ypll_rate	12344
5043	Arkansas	Drew	ypll_rate	9634
5045	Arkansas	Faulkner	ypll_rate	7296
5047	Arkansas	Franklin	ypll_rate	8643
5049	Arkansas	Fulton	ypll_rate	11688
5051	Arkansas	Garland	ypll_rate	9962
5053	Arkansas	Grant	ypll_rate	9069
5055	Arkansas	Greene	ypll_rate	10162
5057	Arkansas	Hempstead	ypll_rate	9490
5059	Arkansas	Hot Spring	ypll_rate	9973
5061	Arkansas	Howard	ypll_rate	10035
5063	Arkansas	Independence	ypll_rate	10758
5065	Arkansas	Izard	ypll_rate	10890
5067	Arkansas	Jackson	ypll_rate	9817
5069	Arkansas	Jefferson	ypll_rate	10829
5071	Arkansas	Johnson	ypll_rate	8814
5073	Arkansas	Lafayette	ypll_rate	13601
5075	Arkansas	Lawrence	ypll_rate	10428
5077	Arkansas	Lee	ypll_rate	11695
5079	Arkansas	Lincoln	ypll_rate	8897
5081	Arkansas	Little River	ypll_rate	11542
5083	Arkansas	Logan	ypll_rate	10381
5085	Arkansas	Lonoke	ypll_rate	9021
5087	Arkansas	Madison	ypll_rate	7858
5089	Arkansas	Marion	ypll_rate	10385
5091	Arkansas	Miller	ypll_rate	9612
5093	Arkansas	Mississippi	ypll_rate	13682
5095	Arkansas	Monroe	ypll_rate	10840
5097	Arkansas	Montgomery	ypll_rate	9635
5099	Arkansas	Nevada	ypll_rate	9517
5101	Arkansas	Newton	ypll_rate	12184
5103	Arkansas	Ouachita	ypll_rate	14039
5105	Arkansas	Perry	ypll_rate	9295
5107	Arkansas	Phillips	ypll_rate	14286
5109	Arkansas	Pike	ypll_rate	7886
5111	Arkansas	Poinsett	ypll_rate	13684
5113	Arkansas	Polk	ypll_rate	11004
5115	Arkansas	Pope	ypll_rate	8523
5117	Arkansas	Prairie	ypll_rate	11406
5119	Arkansas	Pulaski	ypll_rate	9374
5121	Arkansas	Randolph	ypll_rate	10455
5123	Arkansas	St. Francis	ypll_rate	10895
5125	Arkansas	Saline	ypll_rate	7307
5127	Arkansas	Scott	ypll_rate	9091
5129	Arkansas	Searcy	ypll_rate	8152
5131	Arkansas	Sebastian	ypll_rate	8897
5133	Arkansas	Sevier	ypll_rate	8916
5135	Arkansas	Sharp	ypll_rate	11104
5137	Arkansas	Stone	ypll_rate	10806
5139	Arkansas	Union	ypll_rate	11763
5141	Arkansas	Van Buren	ypll_rate	9260
5143	Arkansas	Washington	ypll_rate	7119
5145	Arkansas	White	ypll_rate	8633
5147	Arkansas	Woodruff	ypll_rate	12482
5149	Arkansas	Yell	ypll_rate	10026
6001	California	Alameda	ypll_rate	5141
6003	California	Alpine	ypll_rate	
6005	California	Amador	ypll_rate	7504
6007	California	Butte	ypll_rate	7944
6009	California	Calaveras	ypll_rate	6938
6011	California	Colusa	ypll_rate	5945
6013	California	Contra Costa	ypll_rate	5257
6015	California	Del Norte	ypll_rate	9671
6017	California	El Dorado	ypll_rate	5170
6019	California	Fresno	ypll_rate	7010
6021	California	Glenn	ypll_rate	6819
6023	California	Humboldt	ypll_rate	8293
6025	California	Imperial	ypll_rate	5672
6027	California	Inyo	ypll_rate	7070
6029	California	Kern	ypll_rate	7631
6031	California	Kings	ypll_rate	6372
6033	California	Lake	ypll_rate	9804
6035	California	Lassen	ypll_rate	6849
6037	California	Los Angeles	ypll_rate	5464
6039	California	Madera	ypll_rate	6694
6041	California	Marin	ypll_rate	3782
6043	California	Mariposa	ypll_rate	7309
6045	California	Mendocino	ypll_rate	7975
6047	California	Merced	ypll_rate	6726
6049	California	Modoc	ypll_rate	9030
6051	California	Mono	ypll_rate	3891
6053	California	Monterey	ypll_rate	5216
6055	California	Napa	ypll_rate	5309
6057	California	Nevada	ypll_rate	5604
6059	California	Orange	ypll_rate	4396
6061	California	Placer	ypll_rate	4802
6063	California	Plumas	ypll_rate	7082
6065	California	Riverside	ypll_rate	5960
6067	California	Sacramento	ypll_rate	6447
6069	California	San Benito	ypll_rate	4955
6071	California	San Bernardino	ypll_rate	6760
6073	California	San Diego	ypll_rate	5143
6075	California	San Francisco	ypll_rate	5244
6077	California	San Joaquin	ypll_rate	7088
6079	California	San Luis Obispo	ypll_rate	5229
6081	California	San Mateo	ypll_rate	4135
6083	California	Santa Barbara	ypll_rate	5245
6085	California	Santa Clara	ypll_rate	3988
6087	California	Santa Cruz	ypll_rate	5109
6089	California	Shasta	ypll_rate	8358
6091	California	Sierra	ypll_rate	7607
6093	California	Siskiyou	ypll_rate	8516
6095	California	Solano	ypll_rate	6389
6097	California	Sonoma	ypll_rate	5233
6099	California	Stanislaus	ypll_rate	6810
6101	California	Sutter	ypll_rate	6862
6103	California	Tehama	ypll_rate	7902
6105	California	Trinity	ypll_rate	8555
6107	California	Tulare	ypll_rate	7367
6109	California	Tuolumne	ypll_rate	6682
6111	California	Ventura	ypll_rate	5058
6113	California	Yolo	ypll_rate	4891
6115	California	Yuba	ypll_rate	7940
8001	Colorado	Adams	ypll_rate	6371
8003	Colorado	Alamosa	ypll_rate	8017
8005	Colorado	Arapahoe	ypll_rate	5592
8007	Colorado	Archuleta	ypll_rate	6442
8009	Colorado	Baca	ypll_rate	12359
8011	Colorado	Bent	ypll_rate	8560
8013	Colorado	Boulder	ypll_rate	4574
8014	Colorado	Broomfield	ypll_rate	4966
8015	Colorado	Chaffee	ypll_rate	5504
8017	Colorado	Cheyenne	ypll_rate	
8019	Colorado	Clear Creek	ypll_rate	8399
8021	Colorado	Conejos	ypll_rate	8839
8023	Colorado	Costilla	ypll_rate	9422
8025	Colorado	Crowley	ypll_rate	4887
8027	Colorado	Custer	ypll_rate	6402
8029	Colorado	Delta	ypll_rate	7297
8031	Colorado	Denver	ypll_rate	7880
8033	Colorado	Dolores	ypll_rate	
8035	Colorado	Douglas	ypll_rate	3622
8037	Colorado	Eagle	ypll_rate	3517
8039	Colorado	Elbert	ypll_rate	5071
8041	Colorado	El Paso	ypll_rate	6314
8043	Colorado	Fremont	ypll_rate	8136
8045	Colorado	Garfield	ypll_rate	5462
8047	Colorado	Gilpin	ypll_rate	5465
8049	Colorado	Grand	ypll_rate	5346
8051	Colorado	Gunnison	ypll_rate	4806
8053	Colorado	Hinsdale	ypll_rate	
8055	Colorado	Huerfano	ypll_rate	11888
8057	Colorado	Jackson	ypll_rate	
8059	Colorado	Jefferson	ypll_rate	5534
8061	Colorado	Kiowa	ypll_rate	
8063	Colorado	Kit Carson	ypll_rate	6991
8065	Colorado	Lake	ypll_rate	6269
8067	Colorado	La Plata	ypll_rate	5037
8069	Colorado	Larimer	ypll_rate	4960
8071	Colorado	Las Animas	ypll_rate	10184
8073	Colorado	Lincoln	ypll_rate	5278
8075	Colorado	Logan	ypll_rate	6105
8077	Colorado	Mesa	ypll_rate	6800
8079	Colorado	Mineral	ypll_rate	
8081	Colorado	Moffat	ypll_rate	8449
8083	Colorado	Montezuma	ypll_rate	9079
8085	Colorado	Montrose	ypll_rate	6967
8087	Colorado	Morgan	ypll_rate	7018
8089	Colorado	Otero	ypll_rate	8989
8091	Colorado	Ouray	ypll_rate	
8093	Colorado	Park	ypll_rate	5369
8095	Colorado	Phillips	ypll_rate	8211
